date,cpi_away_food,med_inc_house,avg_chipotle,cpi_zero_index,house_zero_index,chipotle_zero_index
1/1/18,275.893,77700,14.07,0.0,0.0,0.0
1/1/19,284.41,83260,14.96,3.09,7.16,6.33
1/1/20,293.944,81580,17.75,6.54,4.99,26.15
1/1/21,307.296,81270,18.9,11.38,4.59,34.33
1/1/22,330.822,79500,20.0,19.91,2.32,42.15
1/1/23,354.256,82690,20.54,28.4,6.42,45.98
1/1/24,368.743,83730,20.94,33.65,7.76,48.83
1/1/25,382.378,85157,21.13,38.6,9.6,50.18
