date,cpi_away_food,med_inc_house,avg_chipotle,avg_cava,avg_sweetgreen,
1/1/18,275.893,77700,14.07,17.31,14.39,
1/1/19,284.41,83260,14.96,18.73,14.9,
1/1/20,293.944,81580,17.75,20.52,17.95,
1/1/21,307.296,81270,18.9,20.97,19.23,
1/1/22,330.822,79500,20,20.77,19.89,
1/1/23,354.256,82690,20.54,20.54,21.4,
1/1/24,368.743,83730,20.94,21.32,23.9,
1/1/25,382.378,85157,21.13,21.71,24.58,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
