date,cpi_away_food,med_inc_house,avg_chipotle,avg_cava,avg_sweetgreen,cpi_zero_index,house_zero_index,chipotle_zero_index,cava_zero_index,sweetgreen_zero_index
1/1/18,275.893,77700.0,14.07,17.31,14.39,0.0,0.0,0.0,0.0,0.0
1/1/19,284.41,83260.0,14.96,18.73,14.9,3.09,7.16,6.33,8.2,3.54
1/1/20,293.944,81580.0,17.75,20.52,17.95,6.54,4.99,26.15,18.54,24.74
1/1/21,307.296,81270.0,18.9,20.97,19.23,11.38,4.59,34.33,21.14,33.63
1/1/22,330.822,79500.0,20.0,20.77,19.89,19.91,2.32,42.15,19.99,38.22
1/1/23,354.256,82690.0,20.54,20.54,21.4,28.4,6.42,45.98,18.66,48.71
1/1/24,368.743,83730.0,20.94,21.32,23.9,33.65,7.76,48.83,23.17,66.09
1/1/25,382.378,85157.0,21.13,21.71,24.58,38.6,9.6,50.18,25.42,70.81
