date,cpi_away_food,med_inc_house,avg_chipotle
1/1/18,275.893,77700,14.07
1/1/19,284.41,83260,14.96
1/1/20,293.944,81580,17.75
1/1/21,307.296,81270,18.9
1/1/22,330.822,79500,20
1/1/23,354.256,82690,20.54
1/1/24,368.743,83730,20.94
1/1/25,382.378,85157,21.13
